mapc_id,TransitScore,WalkScore,BikeScore
87907,,0.0,19.0
87909,,0.0,22.0
87910,,0.0,17.0
87911,,0.0,18.0
87912,,0.0,20.0
87914,,0.0,19.0
87915,,0.0,14.0
87918,,0.0,20.0
87919,,0.0,19.0
87922,,0.0,18.0
87923,,0.0,16.0
87924,,0.0,13.0
87925,,0.0,4.0
87926,,0.0,18.0
87928,,0.0,11.0
87929,,0.0,8.0
87930,,0.0,5.0
87987,,1.0,15.0
87990,,0.0,16.0
88332,,0.0,24.0
88385,,0.0,19.0
88388,,0.0,16.0
88392,,0.0,17.0
88393,,0.0,8.0
88396,,0.0,12.0
88398,,2.0,11.0
88401,,0.0,14.0
88402,,3.0,20.0
88403,,3.0,19.0
88404,,1.0,10.0
88407,,0.0,10.0
88408,,2.0,9.0
88409,,1.0,17.0
88410,,0.0,17.0
88411,,0.0,20.0
88412,,1.0,16.0
88413,,0.0,20.0
88416,,1.0,6.0
88418,,0.0,12.0
88419,,0.0,8.0
88812,,0.0,7.0
88813,,0.0,8.0
88815,,2.0,24.0
88816,,0.0,15.0
88818,,0.0,15.0
88829,,1.0,12.0
88830,,2.0,11.0
88831,,6.0,11.0
88832,,3.0,14.0
88833,,3.0,17.0
88836,,2.0,19.0
88863,,3.0,16.0
88864,,3.0,13.0
88883,,1.0,8.0
88887,,0.0,9.0
88888,,1.0,21.0
88889,,2.0,10.0
88890,,0.0,25.0
88891,,0.0,14.0
88892,,0.0,25.0
88893,,0.0,18.0
88905,,0.0,16.0
88906,,0.0,18.0
89258,,0.0,1.0
89259,,0.0,1.0
89260,,0.0,1.0
89263,,0.0,15.0
89270,,0.0,4.0
89271,,0.0,24.0
89272,,0.0,11.0
89273,,2.0,10.0
89274,,1.0,22.0
89276,,0.0,12.0
89277,,2.0,25.0
89280,,0.0,19.0
89436,,0.0,16.0
89437,,0.0,16.0
89438,,0.0,16.0
89439,,0.0,16.0
89442,,0.0,6.0
89444,,0.0,
89445,,0.0,
89446,,0.0,
89447,,0.0,
89448,,0.0,
89449,,0.0,
89450,,0.0,
89451,,0.0,
89452,,0.0,1.0
89664,,2.0,25.0
90311,,53.0,41.0
90625,,38.0,26.0
91812,,3.0,7.0
91846,,4.0,5.0
92736,,0.0,14.0
93197,,3.0,26.0
93198,,3.0,26.0
93199,,5.0,22.0
93203,,5.0,26.0
93204,,4.0,26.0
93205,,5.0,26.0
93206,,5.0,26.0
93207,,5.0,26.0
93208,,4.0,26.0
93209,,4.0,26.0
93210,,5.0,26.0
93211,,5.0,26.0
93212,,5.0,26.0
93213,,4.0,26.0
93214,,4.0,26.0
93215,,5.0,26.0
93216,,1.0,19.0
93221,,5.0,26.0
93224,,5.0,26.0
93362,,4.0,20.0
93363,,3.0,26.0
93364,,4.0,18.0
93862,,28.0,26.0
93863,,24.0,29.0
93885,,3.0,19.0
93886,,3.0,28.0
94011,,13.0,24.0
94555,,3.0,24.0
94642,,0.0,22.0
94644,,0.0,25.0
94684,,1.0,10.0
94697,,0.0,8.0
94707,,2.0,26.0
94714,,0.0,19.0
94715,,0.0,15.0
94716,,0.0,19.0
94717,,0.0,26.0
94774,,5.0,27.0
94776,,7.0,26.0
94781,,7.0,27.0
94782,,7.0,27.0
95094,,26.0,25.0
95096,,7.0,26.0
95435,,3.0,26.0
95617,,4.0,27.0
96051,,0.0,10.0
96079,,0.0,22.0
96230,,14.0,29.0
96359,,16.0,32.0
96560,,8.0,14.0
96581,,19.0,35.0
96614,,22.0,34.0
96647,,13.0,32.0
96745,,24.0,32.0
96829,,29.0,12.0
96841,,28.0,21.0
96853,,32.0,38.0
97210,,16.0,17.0
97348,,10.0,27.0
97358,,5.0,29.0
98167,,7.0,16.0
98173,,7.0,16.0
98189,,7.0,16.0
98199,,4.0,20.0
98726,,44.0,10.0
98746,,42.0,23.0
98965,,29.0,8.0
99002,,17.0,10.0
99241,,9.0,17.0
99248,,55.0,27.0
99286,,50.0,31.0
99289,,7.0,21.0
99560,,43.0,34.0
99713,,17.0,28.0
99747,,47.0,35.0
99814,,35.0,25.0
100427,,3.0,19.0
100469,,9.0,9.0
100478,,22.0,
100528,,2.0,15.0
100639,,11.0,37.0
100663,,16.0,27.0
100767,,1.0,26.0
100797,,1.0,17.0
100869,,27.0,36.0
100870,,27.0,36.0
101301,,9.0,11.0
101510,,12.0,10.0
101586,,18.0,28.0
101597,,17.0,25.0
101632,,15.0,30.0
101700,,3.0,12.0
101707,,5.0,17.0
101710,,2.0,21.0
101980,,42.0,23.0
102002,,5.0,14.0
102042,,41.0,19.0
102150,,13.0,26.0
102211,,2.0,29.0
102213,,2.0,23.0
102216,,2.0,17.0
102219,,2.0,23.0
102221,,2.0,29.0
102225,,2.0,22.0
102229,,2.0,22.0
102230,,2.0,28.0
102237,,2.0,26.0
102238,,2.0,22.0
102240,,2.0,25.0
102245,,2.0,28.0
102264,,2.0,15.0
102266,,2.0,22.0
102267,,2.0,22.0
102271,,1.0,27.0
102283,,2.0,22.0
102287,,2.0,22.0
102291,,2.0,26.0
102299,,2.0,26.0
102309,,2.0,24.0
102314,,2.0,24.0
102325,,1.0,24.0
102328,,3.0,23.0
102338,,1.0,28.0
102339,,1.0,15.0
102341,,1.0,15.0
102452,,1.0,20.0
102477,,1.0,15.0
102500,,1.0,19.0
102572,,3.0,23.0
102594,,1.0,25.0
102843,,2.0,26.0
102877,,4.0,2.0
102883,,1.0,26.0
103300,,31.0,36.0
103304,,31.0,36.0
103427,,29.0,28.0
103519,,2.0,7.0
103690,,19.0,9.0
103842,,18.0,26.0
104393,,10.0,29.0
104454,,6.0,27.0
104628,,4.0,1.0
104630,,5.0,4.0
104631,,4.0,1.0
104634,,4.0,9.0
104635,,4.0,2.0
104716,,0.0,16.0
104934,,0.0,6.0
104956,,2.0,14.0
104976,,1.0,9.0
104981,,2.0,3.0
104994,,5.0,13.0
105011,,5.0,2.0
105018,,4.0,3.0
105028,,4.0,4.0
105029,,3.0,1.0
105051,,4.0,1.0
105057,,4.0,1.0
105059,,4.0,2.0
105060,,4.0,4.0
105063,,4.0,2.0
105064,,4.0,1.0
105066,,5.0,2.0
105070,,5.0,19.0
105071,,5.0,16.0
105072,,5.0,15.0
105073,,5.0,17.0
105074,,5.0,15.0
105075,,4.0,7.0
105076,,4.0,15.0
105077,,3.0,7.0
105082,,4.0,1.0
105084,,5.0,2.0
105086,,4.0,1.0
105088,,4.0,1.0
105091,,4.0,2.0
105092,,5.0,2.0
105098,,4.0,18.0
105100,,5.0,8.0
105103,,3.0,2.0
105104,,4.0,1.0
105105,,3.0,5.0
105110,,4.0,1.0
105111,,5.0,24.0
105112,,4.0,3.0
105113,,4.0,2.0
105115,,4.0,1.0
105116,,5.0,5.0
105117,,5.0,4.0
105118,,4.0,1.0
105121,,4.0,2.0
105122,,4.0,2.0
105123,,4.0,2.0
105124,,4.0,2.0
105127,,4.0,2.0
105132,,0.0,6.0
105134,,4.0,1.0
105136,,4.0,3.0
105142,,5.0,4.0
105143,,5.0,8.0
105144,,5.0,2.0
105145,,4.0,2.0
105146,,5.0,2.0
105147,,5.0,2.0
105149,,4.0,6.0
105150,,4.0,5.0
105153,,4.0,6.0
105154,,3.0,9.0
105156,,3.0,6.0
105158,,5.0,3.0
105159,,3.0,2.0
105160,,4.0,3.0
105163,,4.0,2.0
105164,,4.0,5.0
105167,,1.0,
105168,,4.0,5.0
105169,,4.0,6.0
105170,,4.0,3.0
105171,,3.0,6.0
105173,,3.0,4.0
105174,,2.0,10.0
105177,,3.0,4.0
105180,,4.0,7.0
105193,,5.0,10.0
105194,,5.0,15.0
105195,,4.0,17.0
105196,,5.0,14.0
105197,,4.0,10.0
105201,,5.0,17.0
105202,,5.0,18.0
105203,,4.0,15.0
105208,,4.0,15.0
105243,,4.0,6.0
105259,,29.0,24.0
105306,,4.0,11.0
105307,,4.0,7.0
105349,,4.0,6.0
105369,,34.0,11.0
105458,,24.0,37.0
105712,,14.0,7.0
105729,,34.0,11.0
105821,,13.0,35.0
106426,,81.0,23.0
106440,,44.0,30.0
106441,,40.0,32.0
106545,,6.0,20.0
106562,,18.0,17.0
106682,,79.0,32.0
106707,,81.0,45.0
106822,,53.0,23.0
107268,,64.0,41.0
107272,,62.0,36.0
107393,,29.0,24.0
107426,,57.0,56.0
107639,,57.0,52.0
107651,,57.0,56.0
107817,,71.0,56.0
107825,,71.0,56.0
107858,,52.0,60.0
108113,,79.0,45.0
108371,,74.0,47.0
108520,,75.0,52.0
108764,,14.0,28.0
108854,,45.0,64.0
108963,,5.0,26.0
109065,,10.0,28.0
109194,,29.0,29.0
109251,,39.0,62.0
109368,,8.0,58.0
109405,,31.0,15.0
109498,,47.0,52.0
109950,,35.0,35.0
110021,,2.0,9.0
110116,,30.0,51.0
110138,,30.0,51.0
110177,,27.0,15.0
110395,,35.0,37.0
110901,,4.0,1.0
111384,,2.0,12.0
111837,,6.0,16.0
111856,,2.0,2.0
111857,,3.0,26.0
111862,,3.0,28.0
112083,,4.0,9.0
112170,,5.0,21.0
